LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,WEATHER,VEHICLE_1:_BODY_TYPE,Area,IMPACT
35.71655,139.86011,死傷,道路(その他),晴れ,キャブオーバ,葛飾区,10
37.80405,140.5226,衝突,道路(その他),晴れ,リヤーエンジン,伊達市,9
35.64464,139.73558,車両故障,道路(その他),晴れ,リヤーエンジン,港区,7
42.98558,144.38872,衝突,道路(その他),晴れ,リヤーエンジン,釧路市,9
38.16736,140.7664,車両故障,道路(高速自動車国道),曇,リヤーエンジン,柴田郡村,8
35.75423,139.81711,衝突,道路(自動車専用道路等),晴れ,箱型,葛飾区,9
36.88884,139.97571,健康起因,道路(その他),晴れ,バン,那須塩原市,6
31.38366,130.94058,衝突,道路(その他),晴れ,ダンプ,鹿屋市,10
35.12955,136.90604,死傷,道路(その他),晴れ,冷蔵冷凍車,名古屋市,10
34.78559,135.53491,衝突,道路(その他),晴れ,冷蔵冷凍車,吹田市,9
43.84039,142.83621,転落,道路(その他),雪,リヤーエンジン,上川郡　上川町,10
35.73049,139.70964,健康起因,その他の場所,晴れ,リヤーエンジン,豊島区,6
35.6835,139.76794,車両故障,道路(その他),晴れ,リヤーエンジン,千代田区,7
34.92763,136.4012,交通障害,道路(高速自動車国道),曇,リヤーエンジン,亀山市,8
36.3503,140.30772,車両故障,その他の場所,曇,リヤーエンジン,笠間市,8
35.6653,139.69147,死傷,道路(その他),晴れ,箱型,渋谷区,10
35.02756,138.46361,衝突,道路(その他),晴れ,箱型,静岡市,9
35.52485,135.91014,衝突,道路(その他),雨,トラクタ,三方上中郡若狭町,10
35.25423,139.15648,車両故障,その他の場所,晴れ,リヤーエンジン,小田原市,7
35.11927,135.91756,車両故障,道路(その他),晴れ,リヤーエンジン,大津市,7
35.2606,139.00455,衝突,道路(その他),晴れ,リヤーエンジン,足柄下郡箱根町,9
34.63669,135.45572,車両故障,道路(その他),晴れ,リヤーエンジン,大阪市,7
43.05974,141.77904,車両故障,道路(その他),雪,リヤーエンジン,夕張郡栗山町,9
33.5732,131.65329,転落,道路(その他),晴れ,バン,国東市,9
35.90506,140.62886,車内,道路(その他),晴れ,リヤーエンジン,神栖市,5
34.95127,139.13396,車両故障,道路(その他),晴れ,リヤーエンジン,伊東市,7
38.26321,140.87271,衝突,道路(その他),雨,箱型,仙台市,10
37.23105,138.32996,火災,道路(高速自動車国道),雪,バン,上越市,10
38.85468,141.0939,火災,道路(高速自動車国道),雪,冷蔵冷凍車,栗原市,10
34.63545,135.46402,車両故障,道路(その他),曇,リヤーエンジン,大阪市,8
35.10358,136.85632,車内,その他の場所,晴れ,リヤーエンジン,名古屋市,5
35.85297,139.64735,車両故障,道路(その他),曇,リヤーエンジン,さいたま市,8
43.0023,141.35078,車両故障,道路(その他),晴れ,リヤーエンジン,札幌市,7
43.054,141.35146,車両故障,道路(その他),曇,リヤーエンジン,札幌市,8
39.24812,141.88875,死傷,道路(その他),晴れ,トラクタ,釜石市,10
34.71339,135.59679,車両故障,道路(その他),晴れ,リヤーエンジン,大阪市,7
33.5943,131.19196,車内,道路(その他),晴れ,リヤーエンジン,中津市,5
35.68718,139.82343,車両故障,道路(その他),晴れ,リヤーエンジン,江東区,7
35.36011,138.98729,飲酒等(酒気帯び),その他の場所,晴れ,バン,駿東郡小山町,9
34.98503,135.69312,車両故障,道路(その他),曇,リヤーエンジン,京都市,8
35.51601,139.53989,車両故障,道路(その他),晴れ,リヤーエンジン,横浜市,7
35.74509,139.92296,車両故障,道路(その他),晴れ,リヤーエンジン,市川市,7
35.95657,136.18423,車両故障,道路(高速自動車国道),晴れ,バン,鯖江市,7
35.7081,139.77596,救護違反,道路(その他),晴れ,箱型,台東区,7
34.48337,133.03787,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,三原市,7
35.70022,139.7132,衝突,道路(その他),晴れ,箱型,新宿区,9
35.7551,139.63254,健康起因,道路(その他),晴れ,リヤーエンジン,練馬区,6
35.77845,139.68677,車内,道路(その他),晴れ,リヤーエンジン,板橋区,5
31.8503,130.69365,火災,道路(その他),曇,リヤーエンジン,霧島市,10
40.32054,141.31842,車両故障,その他の場所,晴れ,キャブオーバ,二戸市,7
33.40481,130.5777,火災,道路(高速自動車国道),晴れ,高所作業車,小郡市,8
35.63211,139.7373,車両故障,道路(その他),晴れ,リヤーエンジン,港区,7
35.72929,139.71919,車両故障,その他の場所,晴れ,リヤーエンジン,豊島区,7
35.73581,139.70007,健康起因,道路(自動車専用道路等),晴れ,冷蔵冷凍車,豊島区,6
36.39163,140.52095,車両故障,その他の場所,晴れ,リヤーエンジン,ひたちなか市,7
35.7305,139.25093,車両故障,道路(その他),晴れ,リヤーエンジン,あきる野市,7
35.63533,139.78816,車両故障,道路(その他),晴れ,リヤーエンジン,江東区,7
36.39172,140.52522,車両故障,道路(その他),晴れ,リヤーエンジン,ひたちなか市,7
34.49226,136.6597,火災,道路(その他),曇,キャブオーバ,伊勢市,9
35.67138,139.86949,車両故障,道路(その他),晴れ,リヤーエンジン,江戸川区,7
35.68613,139.55688,車両故障,道路(その他),晴れ,リヤーエンジン,三鷹市,7
35.14614,136.29024,車両故障,道路(その他),晴れ,トラクタ,東近江市,7
35.57824,138.46722,衝突,道路(その他),晴れ,バン,南アルプス市,9
35.19479,137.01192,衝突,道路(その他),晴れ,リヤーエンジン,名古屋市,9
42.64605,141.82727,車内,道路(その他),曇,リヤーエンジン,勇払郡厚真町,6
35.12693,136.90619,車内,道路(その他),晴れ,リヤーエンジン,名古屋市,5
35.45361,139.61688,車内,道路(その他),晴れ,リヤーエンジン,横浜市,5
35.34275,139.43864,死傷,道路(その他),晴れ,バン,茅ヶ崎市,10
42.71334,141.22127,車両故障,道路(高速自動車国道),雪,トラクタ,千歳市,9
35.52377,136.59174,死傷,道路(その他),雨,箱型,揖斐郡揖斐川町,10
35.66458,139.31477,車両故障,道路(その他),晴れ,リヤーエンジン,八王子市,7
35.77813,139.91093,車両故障,道路(その他),晴れ,リヤーエンジン,松戸市,7
35.64615,139.9149,車両故障,道路(その他),晴れ,リヤーエンジン,浦安市,7
35.56416,140.14848,車両故障,道路(その他),晴れ,バン,千葉市,7
34.71087,137.72612,死傷,その他の場所,晴れ,箱型,浜松市,10
36.35102,140.49062,火災,道路(その他),晴れ,トラクタ,水戸市,9
43.13672,141.31563,車両故障,その他の場所,曇,リヤーエンジン,札幌市,8
43.58176,141.91429,車両故障,道路(その他),曇,リヤーエンジン,滝川市,8
35.44469,139.6422,車両故障,道路(自動車専用道路等),晴れ,リヤーエンジン,横浜市,7
35.9795,140.14058,死傷,道路(その他),晴れ,トラクタ,牛久市,10
35.76373,140.71002,健康起因,道路(その他),晴れ,ダンプ,銚子市,6
35.2701,140.07191,転覆,道路(その他),晴れ,トラクタ,君津市,9
35.21997,138.90115,車両故障,道路(高速自動車国道),晴れ,リヤーエンジン,裾野市,7
