"調査年 コード","調査年","地域 コード","地域","/項目","A6103_流出人口（県内他市区町村で従業・通学している人口）【人】","注釈"
"2020100000","2020年度","01692","北海道 中標津町","","1,658",""
"2020100000","2020年度","01693","北海道 標津町","","403",""
"2020100000","2020年度","01694","北海道 羅臼町","","65",""
"2020100000","2020年度","02201","青森県 青森市","","7,875",""
"2020100000","2020年度","02202","青森県 弘前市","","10,930",""
"2020100000","2020年度","02203","青森県 八戸市","","8,245",""
"2020100000","2020年度","02204","青森県 黒石市","","7,338",""
"2020100000","2020年度","02205","青森県 五所川原市","","6,809",""
"2020100000","2020年度","02206","青森県 十和田市","","5,884",""
"2020100000","2020年度","02207","青森県 三沢市","","5,996",""
"2020100000","2020年度","02208","青森県 むつ市","","2,505",""
"2020100000","2020年度","02209","青森県 つがる市","","5,270",""
"2020100000","2020年度","02210","青森県 平川市","","8,134",""
"2020100000","2020年度","02301","青森県 平内町","","1,596",""
"2020100000","2020年度","02303","青森県 今別町","","221",""
"2020100000","2020年度","02304","青森県 蓬田村","","583",""
"2020100000","2020年度","02307","青森県 外ヶ浜町","","602",""
"2020100000","2020年度","02321","青森県 鰺ヶ沢町","","1,278",""
"2020100000","2020年度","02323","青森県 深浦町","","434",""
"2020100000","2020年度","02343","青森県 西目屋村","","345",""
"2020100000","2020年度","02361","青森県 藤崎町","","4,859",""
"2020100000","2020年度","02362","青森県 大鰐町","","2,287",""
"2020100000","2020年度","02367","青森県 田舎館村","","2,604",""
"2020100000","2020年度","02381","青森県 板柳町","","3,067",""
"2020100000","2020年度","02384","青森県 鶴田町","","2,825",""
"2020100000","2020年度","02387","青森県 中泊町","","1,422",""
"2020100000","2020年度","02401","青森県 野辺地町","","2,198",""
"2020100000","2020年度","02402","青森県 七戸町","","2,848",""
"2020100000","2020年度","02405","青森県 六戸町","","3,347",""
"2020100000","2020年度","02406","青森県 横浜町","","700",""
"2020100000","2020年度","02408","青森県 東北町","","3,519",""
"2020100000","2020年度","02411","青森県 六ヶ所村","","383",""
"2020100000","2020年度","02412","青森県 おいらせ町","","7,765",""
"2020100000","2020年度","02423","青森県 大間町","","191",""
"2020100000","2020年度","02424","青森県 東通村","","1,015",""
"2020100000","2020年度","02425","青森県 風間浦村","","306",""
"2020100000","2020年度","02426","青森県 佐井村","","170",""
"2020100000","2020年度","02441","青森県 三戸町","","1,311",""
"2020100000","2020年度","02442","青森県 五戸町","","3,918",""
"2020100000","2020年度","02443","青森県 田子町","","658",""
"2020100000","2020年度","02445","青森県 南部町","","4,133",""
"2020100000","2020年度","02446","青森県 階上町","","4,150",""
"2020100000","2020年度","02450","青森県 新郷村","","376",""
"2020100000","2020年度","03201","岩手県 盛岡市","","25,077",""
"2020100000","2020年度","03202","岩手県 宮古市","","1,662",""
"2020100000","2020年度","03203","岩手県 大船渡市","","2,059",""
"2020100000","2020年度","03205","岩手県 花巻市","","12,553",""
"2020100000","2020年度","03206","岩手県 北上市","","10,067",""
"2020100000","2020年度","03207","岩手県 久慈市","","1,393",""
"2020100000","2020年度","03208","岩手県 遠野市","","1,905",""
