OCCURRENCE_DATE_AND_TIME,WEATHER,LOCATION,LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,SPEED_LIMIT_ON_ROAD,VEHICLE_BEHAVIOR_AT_ACCIDENT,ACCIDENT_LOCATION,VEHICLE_1:_BODY_TYPE,Area
2019-01-10 14:55:00,晴れ,江東区亀戸３丁目３６,35.70695,139.81984,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,江東区
2019-01-10 15:00:00,晴れ,横浜市磯子区磯子３丁目１３番地付近,35.40305,139.61676,車両故障,道路(その他),30.0,直進(加速),車道,リヤーエンジン,横浜市
2019-01-10 16:04:00,曇,札幌市豊平区中野市亜ｍ２条８丁目,43.02645,141.354,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,札幌市
2019-01-10 19:15:00,晴れ,大阪市東成区深江南３丁目２２番先,34.66842,135.561,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,大阪市
2019-01-11 00:01:00,晴れ,那須塩原市睦１０４番地先路上,36.89858,139.98586,死傷,道路(その他),50.0,直進(定速),車道,キャブオーバ,那須塩原市
2019-01-11 05:58:00,曇,東御市羽毛山,36.34499,138.33272,転覆,道路(その他),50.0,直進(減速),路肩,トラクタ,東御市
2019-01-11 06:30:00,晴れ,川崎市高津区久本１−１,35.59921,139.60954,車両故障,その他の場所,,停車,バス停留所,リヤーエンジン,川崎市
2019-01-11 06:40:00,晴れ,大津市栗津町６番地先,35.17459,135.88509,死傷,道路(その他),30.0,右折,横断歩道,リヤーエンジン,大津市
2019-01-11 07:00:00,晴れ,長崎市鳴見町３５番１,32.80724,129.8156,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,長崎市
2019-01-11 08:38:00,曇,夕張郡長沼町西７線南３号（西７線バス停）,42.99806,141.62662,車両故障,道路(その他),50.0,停車,バス停留所,リヤーエンジン,夕張郡長沼町
2019-01-11 09:33:00,晴れ,仙台市青葉区藤松５番地,38.29916,140.8755,車内,道路(その他),50.0,停車,バス停留所,リヤーエンジン,仙台市
2019-01-11 10:38:00,晴れ,足立区六月町３,35.78691,139.80023,死傷,道路(その他),30.0,直進(定速),車道,箱型,足立区
2019-01-11 11:15:00,晴れ,河北郡津幡町ナ２７番地１,36.66909,136.72868,車両故障,道路(その他),60.0,直進(減速),トンネル,キャブオーバ,河北郡津幡町
2019-01-11 11:50:00,曇,那覇市旭町,26.20947,127.67667,健康起因,道路(その他),60.0,直進(定速),歩道,箱型,那覇市
2019-01-11 13:30:00,晴れ,西尾市平口町奥川,34.82534,137.04591,車内,道路(その他),40.0,直進(定速),車道,箱型,西尾市
2019-01-11 15:00:00,晴れ,栗原市築館下宮野大仏４５−１,38.76007,141.03354,車両故障,道路(その他),50.0,直進(減速),車道,キャブオーバ,栗原市
2019-01-11 15:30:00,晴れ,亀山市加太中在家　名阪国道下り１４．１Ｋ,34.82628,136.29454,火災,道路(自動車専用道路等),60.0,直進(定速),車道,バン,亀山市
2019-01-11 17:30:00,曇,京都市下京区西大路七条交差点東側,34.99292,135.72995,死傷,道路(その他),40.0,直進(減速),車道,箱型,京都市
2019-01-11 23:04:00,晴れ,大田区山王３−１−１,35.58558,139.72574,死傷,道路(その他),40.0,直進(定速),車道,箱型,大田区
2019-01-11 23:10:00,曇,岩国市玖珂町,34.10046,132.09277,衝突,道路(高速自動車国道),80.0,直進(定速),車道,バン,岩国市
2019-01-11 23:11:00,雨,岩国市玖珂町３９２７番地,34.10046,132.09277,衝突,道路(高速自動車国道),80.0,直進(減速),車道,冷蔵冷凍車,岩国市
2019-01-12 00:30:00,曇,尼崎市水堂町３−２１−１,34.74329,135.39296,車両故障,道路(高速自動車国道),80.0,直進(定速),車道,トラクタ,尼崎市
2019-01-12 02:30:00,晴れ,浜松市　新東名高速　浜松サービスエリア,34.70327,137.79195,車両故障,道路(高速自動車国道),40.0,停車,その他,リヤーエンジン,浜松市
2019-01-12 05:26:00,晴れ,さいたま市大宮区三橋２−２８２　国道１７号　新大宮バイパス,35.89992,139.60117,死傷,道路(その他),60.0,左折,その他,バン,さいたま市
2019-01-12 06:20:00,曇,堺市南区三原台５丁（晴美台１丁目交差点）,34.49881,135.52087,車両故障,道路(その他),40.0,停車,交差点,リヤーエンジン,堺市
2019-01-12 08:20:00,晴れ,菊川市加茂　東名菊川バス停,34.74258,138.08118,車両故障,その他の場所,,停車,バス停留所,リヤーエンジン,菊川市
2019-01-12 09:22:00,曇,北区豊島３−２０,35.75988,139.74561,死傷,道路(その他),40.0,直進(定速),歩道,リヤーエンジン,北区
2019-01-12 13:40:00,曇,仙台市宮城野区白鳥二丁目３５番地,38.26231,140.98885,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,仙台市
2019-01-12 16:30:00,曇,上川郡清水町,43.01142,142.88457,車両故障,道路(その他),50.0,直進(加速),車道,冷蔵冷凍車,上川郡清水町
2019-01-12 16:35:00,雨,御殿場市東田中,35.28396,138.94777,車両故障,道路(高速自動車国道),100.0,停車,バス停留所,リヤーエンジン,御殿場市
2019-01-12 21:56:00,曇,佐世保市若葉町１０−６番地,33.16248,129.73355,死傷,道路(その他),30.0,直進(減速),交差点,箱型,佐世保市
2019-01-13 02:19:00,晴れ,釧路市末広町６丁目１番地,42.98502,144.38553,衝突,道路(その他),40.0,転回,交差点,箱型,釧路市
2019-01-13 02:45:00,晴れ,岩瀬郡鏡石町　東北自動車道上り鏡石ＰＡ手前付近,37.23498,140.39011,車両故障,道路(高速自動車国道),100.0,直進(定速),車道,リヤーエンジン,岩瀬郡鏡石町
2019-01-13 06:15:00,雪,小樽市手宮２丁目１番１号,43.20984,140.99803,車両故障,その他の場所,,停車,その他,リヤーエンジン,小樽市
2019-01-13 06:37:00,晴れ,さいたま市岩槻２−８,35.94988,139.69418,死傷,道路(その他),40.0,直進(減速),車道,冷蔵冷凍車,さいたま市
2019-01-13 12:30:00,晴れ,水戸市宮町地内,36.37066,140.47539,車両故障,その他の場所,,駐車,その他,リヤーエンジン,水戸市
2019-01-13 16:35:00,晴れ,鶴見区豊岡町１番２０号,35.50686,139.67567,健康起因,道路(その他),40.0,直進(加速),車道,箱型,鶴見区
2019-01-13 23:20:00,晴れ,市川市北国分４−２７,35.76441,139.90985,衝突,道路(その他),40.0,右折,交差点,箱型,市川市
2019-01-14 06:40:00,晴れ,深川市音江町１丁目６−６,43.69576,142.07411,車両故障,道路(その他),50.0,直進(加速),車道,リヤーエンジン,深川市
2019-01-14 06:43:00,晴れ,水戸市宮町地内,36.37066,140.47539,車両故障,その他の場所,,駐車,バス停留所,リヤーエンジン,水戸市
2019-01-14 07:00:00,晴れ,川口市川口３−１−１　川口市道　幹線７号線,35.80096,139.71648,車両故障,道路(その他),30.0,停車,車道,リヤーエンジン,川口市
2019-01-14 08:30:00,晴れ,八王子市寺田１２７５,35.62417,139.30579,車両故障,道路(その他),40.0,停車,路肩,リヤーエンジン,八王子市
2019-01-14 14:16:00,晴れ,鶴岡市淀川町２５−９,38.73248,139.80048,車両故障,道路(その他),40.0,直進(加速),車道,リヤーエンジン,鶴岡市
2019-01-14 15:10:00,晴れ,江東区新木場　西行き　新木場ＩＣ付近　首都高速道Ｂ線,35.64373,139.82651,車両故障,道路(自動車専用道路等),80.0,直進(定速),車道,リヤーエンジン,江東区
2019-01-14 17:15:00,晴れ,渋谷区南平台町１６−２５,35.65427,139.6944,車両故障,道路(その他),60.0,直進(定速),車道,リヤーエンジン,渋谷区
2019-01-14 18:25:00,晴れ,海老名市門沢橋１２２１番地,35.40542,139.37173,交通障害,道路(高速自動車国道),50.0,直進(定速),車道,キャブオーバ,海老名市
2019-01-14 19:25:00,晴れ,名古屋市名東区,35.17586,137.01024,健康起因,道路(高速自動車国道),80.0,直進(定速),路肩,キャブオーバ,名古屋市
